Year,Confession,District,Population
2005,Sunni,Jezzine,910
2005,Shia,Jezzine,9720
2005,Minorities,Jezzine,42
2005,Maronite,Jezzine,32176
2005,Greek Orthodox,Jezzine,89
2005,Greek Catholic,Jezzine,7948
2005,Evangelical,Jezzine,24
2005,Druze,Jezzine,443
2005,Armenian Orthodox,Jezzine,30
2005,Armenian Catholic,Jezzine,15
2005,Alawite,Jezzine,0
2005,Sunni,Tyr,11362
2005,Shia,Tyr,117991
2005,Minorities,Tyr,229
2005,Maronite,Tyr,2181
2005,Greek Orthodox,Tyr,498
2005,Greek Catholic,Tyr,6563
2005,Evangelical,Tyr,472
2005,Druze,Tyr,0
2005,Armenian Orthodox,Tyr,1061
2005,Armenian Catholic,Tyr,120
2005,Alawite,Tyr,0
2005,Sunni,Saida,40800
2005,Shia,Saida,4165
2005,Minorities,Saida,135
2005,Maronite,Saida,1271
2005,Greek Orthodox,Saida,209
2005,Greek Catholic,Saida,1734
2005,Evangelical,Saida,118
2005,Druze,Saida,44
2005,Armenian Orthodox,Saida,196
2005,Armenian Catholic,Saida,20
2005,Alawite,Saida,0
2005,Sunni,Nabatiyeh,818
2005,Shia,Nabatiyeh,101960
2005,Minorities,Nabatiyeh,3
2005,Maronite,Nabatiyeh,3506
2005,Greek Orthodox,Nabatiyeh,36
2005,Greek Catholic,Nabatiyeh,1006
2005,Evangelical,Nabatiyeh,0
2005,Druze,Nabatiyeh,2
2005,Armenian Orthodox,Nabatiyeh,0
2005,Armenian Catholic,Nabatiyeh,9
2005,Alawite,Nabatiyeh,5
2005,Sunni,Bent.Jbel,187
2005,Shia,Bent.Jbel,94946
2005,Minorities,Bent.Jbel,0
2005,Maronite,Bent.Jbel,10756
2005,Greek Orthodox,Bent.Jbel,0
2005,Greek Catholic,Bent.Jbel,2853
2005,Evangelical,Bent.Jbel,40
2005,Druze,Bent.Jbel,0
2005,Armenian Orthodox,Bent.Jbel,45
2005,Armenian Catholic,Bent.Jbel,16
2005,Alawite,Bent.Jbel,0
2005,Sunni,Marjayoun.Hasbaya,20821
2005,Shia,Marjayoun.Hasbaya,69161
2005,Minorities,Marjayoun.Hasbaya,282
2005,Maronite,Marjayoun.Hasbaya,6030
2005,Greek Orthodox,Marjayoun.Hasbaya,10319
2005,Greek Catholic,Marjayoun.Hasbaya,3550
2005,Evangelical,Marjayoun.Hasbaya,1246
2005,Druze,Marjayoun.Hasbaya,12817
2005,Armenian Orthodox,Marjayoun.Hasbaya,66
2005,Armenian Catholic,Marjayoun.Hasbaya,34
2005,Alawite,Marjayoun.Hasbaya,0
2005,Sunni,Beirut,180934
2005,Shia,Beirut,56871
2005,Minorities,Beirut,21111
2005,Maronite,Beirut,24376
2005,Greek Orthodox,Beirut,41657
2005,Greek Catholic,Beirut,19272
2005,Evangelical,Beirut,7161
2005,Druze,Beirut,4793
2005,Armenian Orthodox,Beirut,48169
2005,Armenian Catholic,Beirut,9056
2005,Alawite,Beirut,97
2009,Sunni,Zgharta,8312
2009,Shia,Zgharta,68
2009,Minorities,Zgharta,17
2009,Maronite,Zgharta,60086
2009,Greek Orthodox,Zgharta,2200
2009,Greek Catholic,Zgharta,179
2009,Evangelical,Zgharta,43
2009,Druze,Zgharta,0
2009,Armenian Orthodox,Zgharta,35
2009,Armenian Catholic,Zgharta,74
2009,Alawite,Zgharta,20
2009,Sunni,Akkar,143428
2009,Shia,Akkar,2179
2009,Minorities,Akkar,61
2009,Maronite,Akkar,28176
2009,Greek Orthodox,Akkar,35948
2009,Greek Catholic,Akkar,2228
2009,Evangelical,Akkar,666
2009,Druze,Akkar,1
2009,Armenian Orthodox,Akkar,50
2009,Armenian Catholic,Akkar,27
2009,Alawite,Akkar,10744
2009,Sunni,Batroun,3197
2009,Shia,Batroun,958
2009,Minorities,Batroun,224
2009,Maronite,Batroun,42882
2009,Greek Orthodox,Batroun,9232
2009,Greek Catholic,Batroun,1594
2009,Evangelical,Batroun,5
2009,Druze,Batroun,2
2009,Armenian Orthodox,Batroun,202
2009,Armenian Catholic,Batroun,58
2009,Alawite,Batroun,38
2009,Sunni,Koura,7407
2009,Shia,Koura,1125
2009,Minorities,Koura,71
2009,Maronite,Koura,11007
2009,Greek Orthodox,Koura,37341
2009,Greek Catholic,Koura,182
2009,Evangelical,Koura,166
2009,Druze,Koura,1
2009,Armenian Orthodox,Koura,50
2009,Armenian Catholic,Koura,0
2009,Alawite,Koura,428
2009,Sunni,Minniye.Danniyeh,82868
2009,Shia,Minniye.Danniyeh,58
2009,Minorities,Minniye.Danniyeh,5
2009,Maronite,Minniye.Danniyeh,6354
2009,Greek Orthodox,Minniye.Danniyeh,7961
2009,Greek Catholic,Minniye.Danniyeh,57
2009,Evangelical,Minniye.Danniyeh,1
2009,Druze,Minniye.Danniyeh,0
2009,Armenian Orthodox,Minniye.Danniyeh,0
2009,Armenian Catholic,Minniye.Danniyeh,2
2009,Alawite,Minniye.Danniyeh,17
2009,Sunni,Bcharry,19
2009,Shia,Bcharry,0
2009,Minorities,Bcharry,32
2009,Maronite,Bcharry,46003
